route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,zenbus_mission_id,trip_headsign_code
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:11,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:830780013:LOC,cal1-mon-tue-wed-thu-fri-3,5070208983105536:12,DURENQUE QUAI > GARES MAZAMET,,0,,zenbus:Route:5130781510860800:LOC,,,5191112731918336,trip_19
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:0,ARSENAL > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:5175672190271488:LOC,,,6214599730790400,trip_187
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:1,BORDE BASSE > TENNIS,,0,,zenbus:Route:5185907147669504:LOC,,,5110645294891008,trip_184
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:2,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:3,BORDE BASSE > ESTADIEU,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:4,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:5,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:6,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:7,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:8,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:9,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:10,BORDE BASSE > MILHAUD,,0,,zenbus:Route:5146882739273728:LOC,,,4848429639401472,trip_208
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:11,BORDE BASSE > MILHAUD,,0,,zenbus:Route:5119839209259008:LOC,,,5202493975822336,trip_195
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:12,BORDE BASSE > MILHAUD,,0,,zenbus:Route:5146882739273728:LOC,,,4848429639401472,trip_208
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:13,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:14,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:15,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:16,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:17,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:18,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:19,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:20,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:21,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:22,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6205176304107520:LOC,,,6258727835402240,trip_200
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:23,BORDE BASSE > COLLEGE THOMAS PESQUET,,0,,zenbus:Route:6302562003189760:LOC,,,5197732736139264,trip_201
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:24,BORDE BASSE > MILHAUD,,0,,zenbus:Route:5146882739273728:LOC,,,4848429639401472,trip_208
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5099707774795776:25,BORDE BASSE > GARE,,0,,zenbus:Route:5173185538424832:LOC,,,5178914068496384,trip_209
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:0,COLLEGE THOMAS PESQUET > BERNADOU,,1,,zenbus:Route:5072385927544832:LOC,,,5114855168147456,trip_4
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:1,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:2,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5072385927544832:LOC,,,5114855168147456,trip_4
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:3,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:4,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:5,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:6,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:7,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:8,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:9,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:10,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5106527645990912:LOC,,,6251526651641856,trip_23
zenbus:Line:854940001:LOC,cal1-mon-tue-wed-thu-fri-3,5086894863941632:11,COLLEGE THOMAS PESQUET > BORDE BASSE,,1,,zenbus:Route:5130590854578176:LOC,,,6216428984205312,trip_20
